gene_id	group	xcase_dn_ptv	xcont_dn_ptv	xcase_dn_misb	xcont_dn_misb	xcase_dn_misa	xcont_dn_misa	xcase_dbs_ptv	xcont_dbs_ptv	xcase_swe_ptv	xcont_swe_ptv	xcase_tut	xcont_tut	qval
ENSG00000008226	All	0	0	0	0	0	0	0	2	1	14	5	8	8.3667e-01
ENSG00000008256	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2092e-01
ENSG00000008277	All	0	0	0	0	0	0	1	0	1	1	1	2	9.1615e-01
ENSG00000008282	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3010e-01
ENSG00000008283	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2088e-01
ENSG00000008294	All	1	0	0	0	0	1	0	1	1	1	0	1	8.4608e-01
ENSG00000008300	All	0	0	0	0	0	0	0	1	0	0	1	1	9.1978e-01
ENSG00000008311	All	0	0	0	0	0	0	1	1	0	0	4	3	8.6941e-01
ENSG00000008323	All	2	0	0	0	0	0	0	1	2	0	2	6	6.4053e-01
ENSG00000008324	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2993e-01
ENSG00000008382	All	0	0	0	0	0	0	0	0	0	0	0	1	9.2612e-01
ENSG00000008394	All	0	0	0	0	0	0	0	0	0	0	4	2	9.2602e-01
ENSG00000008405	All	0	0	0	0	0	0	0	0	0	1	2	2	8.6517e-01
ENSG00000008438	All	0	0	0	0	0	0	0	1	0	0	2	2	9.2764e-01
ENSG00000008441	All	0	0	1	0	0	0	2	0	0	0	0	0	5.4023e-01
ENSG00000008513	All	0	0	0	0	0	0	0	0	0	0	1	0	9.2996e-01
ENSG00000008516	All	0	0	0	0	0	0	1	0	0	0	2	2	8.7987e-01
ENSG00000008517	All	0	0	0	0	0	0	0	0	1	0	3	0	9.0754e-01
ENSG00000008710	All	0	0	0	0	0	0	0	0	0	1	0	0	9.2775e-01
ENSG00000008735	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2580e-01
ENSG00000008838	All	0	0	0	0	1	0	2	0	0	2	3	1	7.6962e-01
ENSG00000008853	All	0	0	1	1	0	0	1	4	0	1	2	1	5.8308e-01
ENSG00000008869	All	1	0	0	0	0	1	4	5	0	3	8	0	9.1479e-01
ENSG00000008952	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2927e-01
ENSG00000008988	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2901e-01
ENSG00000009307	All	1	0	0	0	0	1	0	0	0	0	2	0	5.7166e-01
ENSG00000009335	All	0	0	1	0	1	0	0	0	0	0	0	0	3.3962e-01
ENSG00000009413	All	0	0	0	0	0	0	2	0	0	1	1	1	9.2865e-01
ENSG00000009709	All	0	0	0	0	0	0	0	0	0	0	1	0	9.2745e-01
ENSG00000009724	All	0	0	0	0	0	0	0	0	2	4	4	3	8.8607e-01
ENSG00000009765	All	0	0	0	0	0	0	0	0	0	0	2	1	9.2469e-01
ENSG00000009780	All	0	0	0	0	0	0	0	0	0	0	0	0	8.9856e-01
ENSG00000009790	All	0	0	0	0	0	0	1	0	0	1	2	0	8.7040e-01
ENSG00000009830	All	0	0	0	0	0	0	0	0	0	2	2	3	8.6165e-01
ENSG00000009844	All	0	0	0	0	0	0	0	1	0	0	0	2	9.3102e-01
ENSG00000009950	All	0	0	0	0	0	0	0	0	0	0	1	0	9.2607e-01
ENSG00000009954	All	1	0	0	0	1	0	1	0	0	0	1	0	6.6811e-01
ENSG00000010017	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2849e-01
ENSG00000010030	All	0	0	0	0	0	0	0	0	1	1	2	0	8.9335e-01
ENSG00000010072	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2988e-01
ENSG00000010165	All	0	0	0	0	0	0	0	0	2	1	3	2	8.7276e-01
ENSG00000010219	All	0	0	0	0	0	0	0	1	0	0	3	2	8.9205e-01
ENSG00000010244	All	0	0	0	0	0	0	0	0	0	0	0	1	9.3126e-01
ENSG00000010256	All	0	0	0	0	0	0	0	1	0	2	0	0	9.3091e-01
ENSG00000010270	All	0	0	0	0	0	0	2	0	0	0	0	1	8.7216e-01
ENSG00000010278	All	0	0	0	0	0	0	0	1	0	0	0	0	9.1956e-01
ENSG00000010282	All	0	0	0	0	0	0	0	0	0	0	1	1	8.8248e-01
ENSG00000010292	All	0	0	0	0	0	0	3	6	1	2	4	3	8.3887e-01
ENSG00000010295	All	0	0	0	0	0	0	0	1	0	0	4	2	9.2431e-01
ENSG00000010310	All	0	0	0	0	0	0	2	1	0	2	5	2	8.8511e-01
ENSG00000010318	All	1	0	0	0	0	0	0	0	0	0	0	0	7.4702e-01
ENSG00000010319	All	0	0	0	0	0	0	3	2	1	1	4	3	8.6088e-01
ENSG00000010322	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2666e-01
ENSG00000010327	All	0	0	0	0	0	0	0	1	4	8	13	8	8.2365e-01
ENSG00000010361	All	0	0	0	0	0	0	0	0	0	0	1	0	9.2293e-01
ENSG00000010379	All	0	0	0	0	0	0	1	1	0	2	2	2	8.8442e-01
ENSG00000010438	All	0	1	0	0	0	0	1	0	0	0	0	0	9.0676e-01
ENSG00000010539	All	0	0	0	0	0	0	5	1	0	1	0	2	9.0080e-01
ENSG00000010610	All	0	0	0	0	0	0	1	0	0	0	2	0	8.9931e-01
ENSG00000010626	All	0	0	0	0	0	0	0	1	0	0	1	1	9.0059e-01
ENSG00000010704	All	0	0	0	0	0	0	0	0	0	0	1	2	8.9826e-01
ENSG00000010803	All	0	1	0	0	0	1	0	0	0	0	3	1	9.2921e-01
ENSG00000010810	All	0	0	0	0	0	0	1	0	0	0	0	0	7.2167e-01
ENSG00000010818	All	1	0	0	0	0	0	0	0	0	0	0	1	9.2397e-01
ENSG00000010932	All	0	0	0	0	0	0	1	0	0	1	4	1	8.8298e-01
ENSG00000011007	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3021e-01
ENSG00000011009	All	0	0	0	0	1	0	0	0	0	0	1	0	6.4973e-01
ENSG00000011021	All	0	0	0	0	0	0	1	0	0	0	5	0	7.8839e-01
ENSG00000011028	All	0	0	0	0	0	0	2	2	0	0	1	3	9.2613e-01
ENSG00000011052	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2670e-01
ENSG00000011083	All	0	0	0	0	0	0	2	1	0	1	2	0	8.8086e-01
ENSG00000011105	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3072e-01
ENSG00000011114	All	0	0	0	0	0	0	2	2	0	0	0	0	9.1804e-01
ENSG00000011132	All	0	0	0	0	0	0	0	0	1	1	1	1	8.8067e-01
ENSG00000011143	All	0	0	0	0	0	0	2	1	0	0	1	4	8.6475e-01
ENSG00000011198	All	0	0	0	0	0	0	0	1	1	0	1	7	8.8755e-01
ENSG00000011243	All	0	0	0	0	0	0	0	0	0	0	0	2	9.1644e-01
ENSG00000011258	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2586e-01
ENSG00000011260	All	0	0	0	0	0	0	1	1	0	0	2	3	9.3095e-01
ENSG00000011275	All	0	0	0	0	0	0	0	1	0	2	0	0	9.2881e-01
ENSG00000011295	All	0	0	0	0	0	0	1	2	0	0	0	2	8.9132e-01
ENSG00000011304	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2827e-01
ENSG00000011332	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2149e-01
ENSG00000011347	All	0	0	0	0	1	0	0	0	0	0	0	0	7.6937e-01
ENSG00000011376	All	0	0	0	0	0	0	3	4	0	0	2	2	8.5825e-01
ENSG00000011405	All	0	0	0	0	0	0	0	2	0	2	4	2	9.2772e-01
ENSG00000011422	All	0	0	0	0	0	0	0	0	0	0	1	0	9.2779e-01
ENSG00000011426	All	0	0	0	0	0	0	0	0	0	0	0	1	9.1674e-01
ENSG00000011451	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3107e-01
ENSG00000011454	All	0	0	0	0	0	1	1	1	0	0	0	0	9.2845e-01
ENSG00000011465	All	0	0	0	0	0	0	1	1	0	0	0	1	9.2102e-01
ENSG00000011478	All	0	0	0	0	0	0	3	2	0	1	0	1	9.0579e-01
ENSG00000011485	All	0	0	0	0	3	0	0	0	0	0	0	0	5.2664e-02
ENSG00000011523	All	0	0	0	0	0	0	1	1	0	3	2	1	9.1983e-01
ENSG00000011566	All	0	0	0	0	0	0	1	0	0	0	0	0	7.5475e-01
ENSG00000011590	All	0	0	0	0	0	0	0	0	0	0	1	0	9.3116e-01
ENSG00000011600	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3079e-01
ENSG00000011638	All	0	0	0	0	0	0	0	0	0	0	1	1	9.3040e-01
ENSG00000012048	All	1	0	0	0	0	0	0	0	1	1	2	1	9.1797e-01
ENSG00000012061	All	0	0	0	0	0	0	3	0	0	1	1	4	9.0638e-01
ENSG00000012124	All	0	0	0	0	0	0	0	1	0	1	1	0	9.1947e-01
ENSG00000012223	All	0	0	0	0	0	0	2	5	0	3	5	9	8.6346e-01
ENSG00000012232	All	0	0	0	0	0	0	1	2	0	3	1	0	9.2218e-01
ENSG00000012504	All	0	0	0	0	0	0	5	0	0	0	1	2	4.0131e-01
ENSG00000012660	All	0	0	0	0	0	0	0	1	0	0	0	0	9.2191e-01
ENSG00000012779	All	0	0	0	0	0	0	0	0	0	1	1	0	8.6513e-01
ENSG00000012822	All	0	0	0	0	0	0	0	0	0	0	3	0	9.1895e-01
ENSG00000012963	All	0	0	0	0	0	0	1	0	0	1	0	0	9.3087e-01
ENSG00000012983	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2578e-01
ENSG00000013016	All	0	0	0	0	0	0	0	2	0	1	0	1	9.2177e-01
ENSG00000013275	All	0	0	0	0	1	0	0	1	0	0	0	0	6.6118e-01
ENSG00000013288	All	0	0	0	0	0	0	1	2	0	1	6	5	8.5523e-01
ENSG00000013293	All	0	0	0	0	0	0	3	2	0	0	3	0	7.9227e-01
ENSG00000013297	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2011e-01
ENSG00000013306	All	1	0	0	0	0	0	0	1	0	0	3	1	9.2952e-01
ENSG00000013364	All	0	0	0	0	0	0	2	1	0	0	1	2	8.2380e-01
ENSG00000013374	All	0	0	0	0	0	0	0	0	0	0	3	5	8.7711e-01
ENSG00000013375	All	0	0	0	0	0	0	0	1	0	0	2	3	9.2764e-01
ENSG00000013392	All	0	0	0	0	0	0	0	2	0	0	0	2	9.1160e-01
ENSG00000013441	All	0	0	0	0	0	0	1	0	0	0	1	2	7.9638e-01
ENSG00000013503	All	0	0	0	0	0	0	2	1	2	1	6	0	8.4006e-01
ENSG00000013523	All	0	0	0	0	0	0	2	0	0	1	4	5	8.7078e-01
ENSG00000013561	All	0	0	0	0	0	0	1	0	0	0	1	0	8.2858e-01
ENSG00000013583	All	0	0	0	0	0	0	1	0	0	0	1	0	9.1295e-01
