gene	set
ADD1	background
TXNDC16	background
RTRAF	background
NID2	background
GMCL1	background
SF3B2	background
KLHL42	background
GNAS	background
DNM1L	background
PHACTR3	background
ERGIC2	background
TFAP2C	background
AURKA	background
AAMDC	background
RFX2	background
METTL2A	background
ALG6	background
CNOT3	background
PTPN4	background
DDX18	background
KHSRP	background
ASAP3	background
EDEM2	background
DNMT3B	background
TPX2	background
PDRG1	background
EPB41L1	background
DOCK9	background
ANKRD10	background
TGDS	background
DOCK3	background
C3orf18	background
COQ9	background
ARHGAP28	background
CRLS1	background
PPP1R13B	background
ATRN	background
SMOX	background
FKBP1A	background
NSFL1C	background
C20orf194	background
ZNF343	background
EBF4	background
CPXM1	background
MAVS	background
XRN2	background
KIZ	background
DYNLL1	background
SNX5	background
RPL6	background
MAPKAPK5	background
ESF1	background
RBBP9	background
ANAPC5	background
SLC23A2	background
SLC8B1	background
TMEM230	background
DZANK1	background
KDM2B	background
TASP1	background
GCN1	background
RPLP0	background
PXN	background
RPH3A	background
KIF16B	background
TRMT6	background
CHGB	background
PEBP1	background
BRAP	background
ERP29	background
FUS	background
IGBP1	background
ZNF302	background
GRAMD1A	background
CDIP1	background
GANAB	background
GMIP	background
RBM41	background
BIRC5	background
MLF2	background
OTUB2	background
DDX24	background
ZBTB25	background
NECAP1	background
DHX32	background
RCOR1	background
GPATCH2L	background
LTBP4	background
BLVRB	background
SLC9A1	background
SPTLC1	background
PAPOLA	background
CCNK	background
PCBP4	background
MRPS33	background
NDUFB2	background
NUDC	background
MAEA	background
STRN4	background
MUL1	background
TFAP4	background
PDCD7	background
SPG21	background
DNAJB11	background
P3H2	background
GNPTG	background
ZNF268	background
GOLGA3	background
PABPC4	background
CERS4	background
MCOLN1	background
USP48	background
EFNB1	background
AARS1	background
GLG1	background
KIF4A	background
TNRC6A	background
PLEKHG2	background
DLL3	background
EXOC1	background
RBM27	background
OSBPL8	background
DTX2	background
PUS7	background
NRCAM	background
LAMB1	background
DLD	background
WDR7	background
TXNL1	background
CMTM6	background
ITGA6	background
RAPGEF4	background
MAP3K20	background
FH	background
SEL1L3	background
TF	background
CDV3	background
ALKBH5	background
SPAG7	background
ORC6	background
ZFHX4	background
SLC17A6	background
ZC3HC1	background
RGS17	background
ANGPT2	background
TMEM101	background
CD200	background
CCDC80	background
PSME1	background
PPP2R3C	background
HAUS4	background
JPH4	background
SLC7A8	background
OSGEP	background
SLC22A17	background
RNF31	background
SCFD1	background
G2E3	background
HECTD1	background
HNRNPC	background
SUPT16H	background
TOX4	background
GEMIN2	background
TINF2	background
SEMA6A	background
TRPM7	background
TYRO3	background
WDR76	background
SNAP23	background
PHGDH	background
COL9A3	background
EZR	background
MYL6	background
AGO1	background
TEKT2	background
CLSPN	background
RFFL	background
MFSD11	background
DPYSL2	background
TGFB2	background
GPATCH2	background
NUP50	background
COMT	background
ECHDC1	background
LRRFIP2	background
SEC22C	background
XYLB	background
HDAC6	background
KRT31	background
CDC6	background
UPRT	background
CDC23	background
AAAS	background
CBX5	background
SUCO	background
MSH2	background
DHPS	background
HOOK2	background
ARCN1	background
TMEM38B	background
PSMD5	background
NUP188	background
CRAT	background
SH2D3C	background
NANS	background
TBC1D2	background
CWF19L1	background
SEMA4G	background
BTAF1	background
IKZF5	background
CYP26A1	background
SORBS1	background
WAC	background
CREM	background
NUBP2	background
HIVEP1	background
FKBP5	background
SRPK1	background
BRPF3	background
MRPS18A	background
TMEM14A	background
EFHC1	background
HSP90AB1	background
CDC5L	background
ZNF184	background
SIRT1	background
HNRNPH3	background
IFT74	background
JAK2	background
ABL1	background
ACOT7	background
SH3GLB1	background
CDC7	background
SCD	background
TMED1	background
ABLIM1	background
RAB18	background
NRP1	background
HSD17B7P2	background
PRTFDC1	background
PALMD	background
MACROH2A2	background
WASHC2A	background
MAST3	background
MZF1	background
MYO9B	background
PSMD8	background
STX1B	background
SETD1A	background
BCL7C	background
CIRBP	background
ATP5F1D	background
PCDH11Y	background
HNRNPM	background
TECR	background
CDC34	background
MTAP	background
CEP170B	background
POLR2E	background
POLRMT	background
RASSF7	background
PALM	background
MKNK2	background
ARVCF	background
TRMT2A	background
RANBP1	background
KLHL22	background
MED15	background
SNAP29	background
CRKL	background
LZTR1	background
MMP11	background
SMARCB1	background
DERL3	background
BCL2L13	background
DDT	background
CABIN1	background
TBC1D10A	background
SF3A1	background
GGT5	background
SEC14L2	background
SPECC1L	background
PPIL2	background
YPEL1	background
SNRPD3	background
PES1	background
MAPK1	background
PPM1F	background
TOP3B	background
ESS2	background
CRYBB2P1	background
MFNG	background
LRP5L	background
SLC25A1	background
GRK3	background
GGA1	background
HIRA	background
SEZ6L	background
HPS4	background
PIK3IP1	background
SRRD	background
PATZ1	background
TRIOBP	background
TFIP11	background
GCAT	background
ANKRD54	background
EIF3L	background
SNU13	background
POLR2F	background
DEPDC5	background
PICK1	background
TTC28	background
SEPTIN3	background
DDX17	background
TCF20	background
HSCB	background
CBY1	background
TOMM22	background
XBP1	background
RTCB	background
JOSD1	background
FBXO7	background
GTPBP1	background
POLDIP3	background
RAB36	background
TIMP3	background
PPP6R2	background
SBF1	background
SUN2	background
CYB5R3	background
DNAL4	background
LMF2	background
RHBDD3	background
PACSIN2	background
TTLL1	background
AP1B1	background
HMGXB4	background
TOM1	background
CHKB	background
MCAT	background
THOC5	background
MCM5	background
ARSA	background
TSPO	background
TTLL12	background
RPL3	background
ZMAT5	background
RBFOX2	background
SYNGR1	background
TAB1	background
ASCC2	background
MTMR3	background
MIEF1	background
APOL4	background
PNPLA3	background
MYH9	background
SAMM50	background
TXN2	background
FOXRED2	background
EIF3D	background
TNRC6B	background
SGSM3	background
IFT27	background
KIAA0930	background
SLC25A17	background
FAM118A	background
KCTD17	background
ST13	background
RBX1	background
EP300	background
L3MBTL2	background
RANGAP1	background
ZC3H7B	background
PHF5A	background
ACO2	background
POLR3H	background
TRMU	background
PMM1	background
CERK	background
BRD1	background
ZBED4	background
MLC1	background
HDAC10	background
KCNK10	background
ABHD4	background
KHNYN	background
FKBP3	background
SDR39U1	background
RBM23	background
PRMT5	background
COCH	background
VCPKMT	background
SOS2	background
NIN	background
TRIM9	background
PSMC6	background
GNPNAT1	background
DDHD1	background
CNIH1	background
CGRRF1	background
ATP6V1D	background
PIGH	background
PSMA3	background
VTI1B	background
TIMM9	background
KIAA0586	background
AHSA1	background
DAAM1	background
LGMN	background
ALKBH1	background
SNW1	background
CHGA	background
ITPK1	background
DHRS7	background
PPM1A	background
GALNT16	background
CEP128	background
ERH	background
HIF1A	background
SUSD6	background
SRSF5	background
EIF5	background
SLC8A3	background
DICER1	background
ZFYVE21	background
MTHFD1	background
ZC3H14	background
TELO2	background
PCNX1	background
GSKIP	background
VRK1	background
PSMC1	background
RPS6KA5	background
PPP4R3A	background
C14orf93	background
PSMB5	background
YY1	background
ACIN1	background
CCNB1IP1	background
TRIP11	background
APEX1	background
PABPN1	background
ARHGAP5	background
CINP	background
SRP54	background
CPNE6	background
CHD8	background
PRORP	background
DCAF11	background
PSMA6	background
NFKBIA	background
EMC9	background
PSME2	background
BRMS1L	background
REC8	background
TM9SF1	background
SEC23A	background
GMPR2	background
PNN	background
RABGGTA	background
PLTP	background
PCIF1	background
GSS	background
TRPC4AP	background
PYGB	background
ABHD12	background
GINS1	background
NINL	background
UQCC1	background
ZMYND8	background
IFT52	background
NDRG3	background
RAB5IF	background
STK4	background
ADNP	background
PFDN4	background
DOK5	background
CSTF1	background
RAE1	background
TPD52L2	background
DNAJC5	background
NELFCD	background
PRPF6	background
PRELID3B	background
MTG2	background
PSMA7	background
MRGBP	background
DIDO1	background
GID8	background
NKAIN4	background
ARFGAP1	background
CHRNA4	background
GMEB2	background
C20orf27	background
CDC25B	background
RNF24	background
ARFRP1	background
NDUFAF5	background
TRIB3	background
RASSF2	background
CSNK2A1	background
CDS2	background
PROKR2	background
HM13	background
SNPH	background
SEC23B	background
PDYN	background
PLCB4	background
TM9SF4	background
CRNKL1	background
POFUT1	background
SAMHD1	background
PAK5	background
KIF3B	background
NOP56	background
MANBAL	background
IDH3B	background
MAPRE1	background
JAG1	background
CDK5RAP1	background
TTI1	background
RPRD1B	background
PXMP4	background
CST3	background
ACTR5	background
WFDC2	background
AHCY	background
PPP1R16B	background
DHX35	background
DNTTIP1	background
MAP1LC3A	background
SYNDIG1	background
PIGU	background
ACOT8	background
APMAP	background
CELF4	background
ADNP2	background
RBFA	background
USP14	background
VAPA	background
METTL4	background
LPIN2	background
SMCHD1	background
MYL12A	background
CEP76	background
ST8SIA5	background
CEP192	background
RNMT	background
LIPG	background
ANKRD12	background
NOL4	background
POLI	background
MIB1	background
RBBP8	background
RIOK3	background
CSTF2	background
PSMD10	background
ATG4A	background
PGRMC1	background
POLA1	background
MID1	background
NKAP	background
NXT2	background
ALG13	background
PRPS2	background
MOSPD1	background
AMMECR1	background
CHRDL1	background
WDR13	background
SUV39H1	background
GLRA2	background
XIAP	background
STAG2	background
ATP11C	background
ABCD1	background
CCDC22	background
SYP	background
PLP2	background
PLS3	background
NAA10	background
SMARCA1	background
RBBP7	background
SLC25A14	background
FMR1	background
PIM2	background
SCML2	background
SLC35A2	background
PQBP1	background
PCSK1N	background
EMD	background
TAZ	background
PGK1	background
