transcript_id	module	module.color	module.number	kME	kMEtoMod	gene_id	transcript_name	gene_name	ensg	novelty
TALONT000337075	M32.violet	violet	32	0.6679465381301595	32	ENSG00000101161.8_3	PRPF6_TALONT000337075	PRPF6	ENSG00000101161	NNC
TALONT000337100	M5.green	green	5	0.7186182798913132	5	ENSG00000032219.19_4	ARID4A_TALONT000337100	ARID4A	ENSG00000032219	ISM
TALONT000337133	M3.brown	brown	3	0.888283224885726	3	ENSG00000100575.14_4	TIMM9_TALONT000337133	TIMM9	ENSG00000100575	ISM
TALONT000337280	M12.tan	tan	12	0.7428871896678356	12	ENSG00000101161.8_3	PRPF6_TALONT000337280	PRPF6	ENSG00000101161	NNC
TALONT000337358	M37.skyblue3	skyblue3	37	0.5235617376041459	37	ENSG00000101161.8_3	PRPF6_TALONT000337358	PRPF6	ENSG00000101161	NIC
TALONT000337446	M4.yellow	yellow	4	0.814774486704561	4	ENSG00000273559.5_5	CWC25_TALONT000337446	CWC25	ENSG00000273559	NIC
TALONT000337481	M10.purple	purple	10	0.46284814203859603	10	ENSG00000140386.13_7	SCAPER_TALONT000337481	SCAPER	ENSG00000140386	NIC
TALONT000337500	M9.magenta	magenta	9	0.4793874122841843	9	ENSG00000140386.13_7	SCAPER_TALONT000337500	SCAPER	ENSG00000140386	ISM
TALONT000337507	M32.violet	violet	32	0.7647096908482833	32	ENSG00000089335.21_5	ZNF302_TALONT000337507	ZNF302	ENSG00000089335	NIC
TALONT000337538	M27.white	white	27	0.8789565088441985	27	ENSG00000100592.15_3	DAAM1_TALONT000337538	DAAM1	ENSG00000100592	ISM
TALONT000337540	M1.turquoise	turquoise	1	0.8445638106866951	1	ENSG00000100592.15_3	DAAM1_TALONT000337540	DAAM1	ENSG00000100592	NIC
TALONT000337551	M1.turquoise	turquoise	1	0.8298565720862205	1	ENSG00000100592.15_3	DAAM1_TALONT000337551	DAAM1	ENSG00000100592	NIC
TALONT000337557	M6.red	red	6	0.883359737834892	6	ENSG00000100592.15_3	DAAM1_TALONT000337557	DAAM1	ENSG00000100592	ISM
TALONT000337673	M1.turquoise	turquoise	1	0.8331850414697207	1	ENSG00000100592.15_3	DAAM1_TALONT000337673	DAAM1	ENSG00000100592	NIC
TALONT000337703	M6.red	red	6	0.818297377171894	6	ENSG00000100592.15_3	DAAM1_TALONT000337703	DAAM1	ENSG00000100592	ISM
TALONT000337717	M8.pink	pink	8	0.6810112623225829	8	ENSG00000100592.15_3	DAAM1_TALONT000337717	DAAM1	ENSG00000100592	ISM
TALONT000337724	M1.turquoise	turquoise	1	0.8473781657004837	1	ENSG00000100592.15_3	DAAM1_TALONT000337724	DAAM1	ENSG00000100592	NIC
TALONT000337851	M36.yellowgreen	yellowgreen	36	0.6724214161731753	36	ENSG00000100592.15_3	DAAM1_TALONT000337851	DAAM1	ENSG00000100592	ISM
TALONT000337892	M7.black	black	7	0.5843845765953105	7	ENSG00000089335.21_5	ZNF302_TALONT000337892	ZNF302	ENSG00000089335	NIC
TALONT000337937	M35.sienna3	sienna3	35	0.7600691093750851	35	ENSG00000101161.8_3	PRPF6_TALONT000337937	PRPF6	ENSG00000101161	ISM
TALONT000338000	M2.blue	blue	2	0.8358804737484822	2	ENSG00000126790.12_5	L3HYPDH_TALONT000338000	L3HYPDH	ENSG00000126790	ISM
TALONT000338081	M8.pink	pink	8	0.7127204562041568	8	ENSG00000140386.13_7	SCAPER_TALONT000338081	SCAPER	ENSG00000140386	ISM
TALONT000338091	M27.white	white	27	0.6166051073993061	27	ENSG00000002834.18_4	LASP1_TALONT000338091	LASP1	ENSG00000002834	ISM
TALONT000338129	M18.lightgreen	lightgreen	18	0.7187219499583098	18	ENSG00000197841.15_7	ZNF181_TALONT000338129	ZNF181	ENSG00000197841	NIC
TALONT000338140	M13.salmon	salmon	13	0.5771619372341176	13	ENSG00000197841.15_7	ZNF181_TALONT000338140	ZNF181	ENSG00000197841	NNC
TALONT000338160	M8.pink	pink	8	0.6726825554178957	8	ENSG00000140386.13_7	SCAPER_TALONT000338160	SCAPER	ENSG00000140386	ISM
TALONT000338301	M1.turquoise	turquoise	1	0.89153982662305	1	ENSG00000067191.16_5	CACNB1_TALONT000338301	CACNB1	ENSG00000067191	NNC
TALONT000338398	M29.saddlebrown	saddlebrown	29	0.886008880454217	29	ENSG00000139970.17_6	RTN1_TALONT000338398	RTN1	ENSG00000139970	NIC
TALONT000338445	M28.skyblue	skyblue	28	0.8344344095866483	28	ENSG00000203880.12_4	PCMTD2_TALONT000338445	PCMTD2	ENSG00000203880	NIC
TALONT000338491	M39.orangered4	orangered4	39	0.8029050173723912	39	ENSG00000203880.12_4	PCMTD2_TALONT000338491	PCMTD2	ENSG00000203880	ISM
TALONT000338517	M5.green	green	5	0.7867956815329457	5	ENSG00000203880.12_4	PCMTD2_TALONT000338517	PCMTD2	ENSG00000203880	NIC
TALONT000338545	M5.green	green	5	0.7576120911248327	5	ENSG00000203880.12_4	PCMTD2_TALONT000338545	PCMTD2	ENSG00000203880	ISM
