gene_id,module
ENSG00000126106,isoExpr.M19_lightyellow
ENSG00000142945,isoExpr.M2_blue
ENSG00000142937,isoExpr.M3_brown
ENSG00000142937,isoExpr.M3_brown
ENSG00000173846,isoExpr.M8_pink
ENSG00000126088,isoExpr.M3_brown
ENSG00000132781,isoExpr.M4_yellow
ENSG00000070759,isoExpr.M4_yellow
ENSG00000280670,isoExpr.M3_brown
ENSG00000117450,isoExpr.M4_yellow
ENSG00000117448,isoExpr.M3_brown
ENSG00000117448,isoExpr.M3_brown
ENSG00000117448,isoExpr.M4_yellow
ENSG00000132780,isoExpr.M4_yellow
ENSG00000132780,isoExpr.M3_brown
ENSG00000132780,isoExpr.M3_brown
ENSG00000159592,isoExpr.M2_blue
ENSG00000086015,isoExpr.M2_blue
ENSG00000117461,isoExpr.M44_floralwhite
ENSG00000117461,isoExpr.M38_plum1
ENSG00000085999,isoExpr.M2_blue
ENSG00000132128,isoExpr.M48_darkslateblue
ENSG00000173660,isoExpr.M3_brown
ENSG00000117480,isoExpr.M1_turquoise
ENSG00000079277,isoExpr.M19_lightyellow
ENSG00000123472,isoExpr.M4_yellow
ENSG00000186377,isoExpr.M1_turquoise
ENSG00000162368,isoExpr.M28_skyblue
ENSG00000162373,isoExpr.M3_brown
ENSG00000162374,isoExpr.M2_blue
ENSG00000162374,isoExpr.M3_brown
ENSG00000162374,isoExpr.M3_brown
ENSG00000162374,isoExpr.M6_red
